system_ind,typology
"00280000000000008843",CR/LWAL/DUC
00280000000000008a4d,MUR/LWAL/DNO
00280000000000013cfd,MR/LWAL/DNO
00280000000000013e2a,CR/LFINF/DUC
0028000000000001408d,CR/LFINF/DUC
"00280000000000014265",CR/LDUAL/DUC
0028000000000001440d,MUR/LWAL/DNO
00280000000000009bca,MUR/LWAL/DNO
0028000000000001f579,MUR/LWAL/DNO
00280000000000009c1f,MUR/LWAL/DNO
00280000000000009c2f,MUR/LWAL/DNO
0028000000000001f58c,MUR/LWAL/DNO
00280000000000009c8f,CR/LFINF/DNO
00280000000000009c92,MUR/LWAL/DNO
0028000000000000c70d,MUR/LWAL/DNO
0028000000000000c711,MUR/LWAL/DNO
0028000000000000c735,CR/LFINF/DNO
"00280000000000021377",MR/LWAL/DNO
"00280000000000021384",MUR/LWAL/DNO
002800000000000213a0,MUR/LWAL/DNO
0028000000000001d5ef,MUR/LWAL/DNO
0028000000000001d64d,MUR/LWAL/DNO
0028000000000003895b,MUR/LWAL/DNO
0028000000000003896b,CR/LFINF/DNO
"00280000000000038970",CR/LFINF/DNO
0028000000000002a502,MUR/LWAL/DNO
00280000000000005c9f,MUR/LWAL/DNO
0028000000000001b652,MUR/LWAL/DNO
00280000000000035bfe,MUR/LWAL/DNO
00280000000000035c09,MUR/LWAL/DNO
00280000000000035c0d,MUR/LWAL/DNO
0028000000000001b6b4,MUR/LWAL/DNO
00280000000000035c5e,MUR/LWAL/DNO
00280000000000035c69,CR/LWAL/DUC
002800000000000001bc,CR/LFINF/DNO
002800000000000001fc,CR/LFINF/DNO
"00280000000000000239",MUR/LWAL/DNO
"00280000000000026562",CR/LDUAL/DUC
"00280000000000026565",MUR/LWAL/DNO
0028000000000002854d,MUR/LWAL/DNO
00280000000000002f01,MUR/LWAL/DNO
00280000000000002f36,MUR/LWAL/DNO
00280000000000002f40,CR/LFINF/DUC
00280000000000002f44,CR/LFINF/DNO
002800000000000285bf,CR/LFINF/DNO
00280000000000032ef7,MUR/LWAL/DNO
00280000000000032f24,MUR/LWAL/DNO
"00280000000000019718",MUR/LWAL/DNO
00280000000000032f45,MUR/LWAL/DNO
0028000000000001974e,MUR/LWAL/DNO
00280000000000032fb6,CR/LFINF/DNO
002800000000000110ae,CR/LFINF/DNO
"002800000000000110e4",MUR/LWAL/DNO
"00280000000000011131",MUR/LWAL/DNO
0028000000000001114c,MUR/LWAL/DNO
"0028000000000000e513",CR/LFINF/DNO
"0028000000000000e518",CR/LFINF/DUC
002800000000000227f2,CR/LFINF/DUC
"0028000000000000e549",MUR/LWAL/DNO
"0028000000000000e574",MUR/LWAL/DNO
0028000000000000e58e,MCF/LWAL/DNO
002800000000000178ab,MUR/LWAL/DNO
"002800000000000178d4",CR/LFINF/DUC
002800000000000303ea,MUR/LWAL/DNO
"00280000000000030405",MUR/LWAL/DNO
0028000000000003040b,MR/LWAL/DNO
0028000000000002091a,MUR/LWAL/DNO
0028000000000000b7c9,MUR/LWAL/DNO
0028000000000000b7cd,MUR/LWAL/DNO
0028000000000000b7e4,MUR/LWAL/DNO
0028000000000002094b,MUR/LWAL/DNO
0028000000000000b81d,CR/LFINF/DUC
0028000000000000b834,CR/LFINF/DUC
0028000000000000777a,CR/LFINF/DNO
0028000000000000778e,MUR/LWAL/DNO
0028000000000002b7e1,MUR/LWAL/DNO
0028000000000002b835,MCF/LWAL/DNO
0028000000000002b85d,CR/LWAL/DUC
0028000000000002d55d,MUR/LWAL/DNO
"0028000000000002d571",MUR/LWAL/DNO
0028000000000002d5d7,MUR/LWAL/DNO
0028000000000002d5f8,CR/LFINF/DNO
0028000000000002d61f,MUR/LWAL/DNO
"0028000000000001e930",MCF/LWAL/DNO
0028000000000003a3f2,MUR/LWAL/DNO
0028000000000003a470,MUR/LWAL/DNO
0028000000000001e9a4,MUR/LWAL/DNO
0028000000000003a486,MUR/LWAL/DNO
0028000000000003a4bd,CR/LFINF/DNO
00280000000000004aad,CR/LWAL/DUC
"00280000000000029923",MUR/LWAL/DNO
00280000000000004af0,MUR/LWAL/DNO
"00280000000000029941",CR/LFINF/DNO
00280000000000001d6e,MUR/LWAL/DNO
"00280000000000001d97",MUR/LWAL/DNO
"002800000000000278d6",MUR/LWAL/DNO
00280000000000001dfd,MR/LWAL/DNO
0028000000000002790b,MUR/LWAL/DNO
0028000000000002790e,MUR/LWAL/DNO
00280000000000001e3c,MUR/LWAL/DNO
"00280000000000001e46",CR/LWAL/DUC
0028000000000001aaff,MUR/LWAL/DNO
00280000000000034c25,MUR/LWAL/DNO
0028000000000001ab60,MUR/LWAL/DNO
0028000000000001ab64,MUR/LWAL/DNO
00280000000000034c45,MUR/LWAL/DNO
00280000000000034c4f,MUR/LWAL/DNO
00280000000000034c78,MCF/LWAL/DNO
0028000000000001ab7f,MCF/LWAL/DNO
00280000000000034ca6,MUR/LWAL/DNO
"00280000000000037773",MUR/LWAL/DNO
002800000000000377b2,MUR/LWAL/DNO
002800000000000377b5,MUR/LWAL/DNO
0028000000000001ca1e,CR/LFINF/DNO
002800000000000377ed,CR/LFINF/DNO
